Source,T1,Destination,T2,Seq,Latency
10.136.5.2,1697911019,10.143.3.2,1697911019,846,62660186
10.129.129.2,1697911019,10.143.3.2,1697911019,766,51798321
10.136.5.2,1697911020,10.143.3.2,1697911020,847,62666783
10.129.129.2,1697911020,10.143.3.2,1697911020,767,51797020
10.136.5.2,1697911021,10.143.3.2,1697911021,848,62680687
10.129.129.2,1697911021,10.143.3.2,1697911021,768,51794721
10.136.5.2,1697911022,10.143.3.2,1697911022,849,62694962
10.129.129.2,1697911022,10.143.3.2,1697911022,769,51812112
10.136.5.2,1697911023,10.143.3.2,1697911023,850,62697556
10.129.129.2,1697911023,10.143.3.2,1697911023,770,51805665
10.136.5.2,1697911024,10.143.3.2,1697911024,851,62675776
10.129.129.2,1697911024,10.143.3.2,1697911024,771,51793069
10.136.5.2,1697911025,10.143.3.2,1697911025,852,62670565
10.129.129.2,1697911025,10.143.3.2,1697911025,772,51837585
10.136.5.2,1697911026,10.143.3.2,1697911026,853,62662083
10.129.129.2,1697911026,10.143.3.2,1697911026,773,51793898
10.136.5.2,1697911027,10.143.3.2,1697911027,854,62663194
10.129.129.2,1697911027,10.143.3.2,1697911027,774,51791349
10.136.5.2,1697911028,10.143.3.2,1697911028,855,62672008
10.129.129.2,1697911028,10.143.3.2,1697911028,775,51806830
10.136.5.2,1697911029,10.143.3.2,1697911029,856,62691481
10.129.129.2,1697911029,10.143.3.2,1697911029,776,51793938
10.136.5.2,1697911030,10.143.3.2,1697911030,857,62710642
10.129.129.2,1697911030,10.143.3.2,1697911030,777,51796833
10.136.5.2,1697911031,10.143.3.2,1697911031,858,62677473
10.129.129.2,1697911031,10.143.3.2,1697911031,778,51814948
10.136.5.2,1697911032,10.143.3.2,1697911032,859,62660845
10.129.129.2,1697911032,10.143.3.2,1697911032,779,51818578
10.136.5.2,1697911033,10.143.3.2,1697911033,860,62713699
10.129.129.2,1697911033,10.143.3.2,1697911033,780,51798425
10.136.5.2,1697911034,10.143.3.2,1697911034,861,62722492
10.129.129.2,1697911034,10.143.3.2,1697911034,781,51797091
10.136.5.2,1697911035,10.143.3.2,1697911035,862,62707554
10.129.129.2,1697911035,10.143.3.2,1697911035,782,51808725
